Method|ThreadCount|BlobName|SizeMB|Mbps|MilliSec
ServiceSideSyncCopy | 32 | 001MB/File08.dat | 1.0 | 3.92 | 2042.53
ServiceSideSyncCopy | 32 | 001MB/File09.dat | 1.0 | 3.86 | 2071.32
ServiceSideSyncCopy | 32 | 001MB/File00.dat | 1.0 | 3.86 | 2072.23
ServiceSideSyncCopy | 32 | 001MB/File02.dat | 1.0 | 3.85 | 2080.23
ServiceSideSyncCopy | 32 | 001MB/File05.dat | 1.0 | 3.65 | 2194.53
ServiceSideSyncCopy | 32 | 001MB/File03.dat | 1.0 | 3.12 | 2560.90
ServiceSideSyncCopy | 32 | 010MB/File08.dat | 10.0 | 31.10 | 2572.45
ServiceSideSyncCopy | 32 | 010MB/File04.dat | 10.0 | 30.00 | 2666.99
ServiceSideSyncCopy | 32 | 010MB/File06.dat | 10.0 | 29.97 | 2668.93
ServiceSideSyncCopy | 32 | 001MB/File07.dat | 1.0 | 2.69 | 2974.17
ServiceSideSyncCopy | 32 | 010MB/File02.dat | 10.0 | 26.87 | 2977.02
ServiceSideSyncCopy | 32 | 010MB/File01.dat | 10.0 | 26.79 | 2986.66
ServiceSideSyncCopy | 32 | 010MB/File05.dat | 10.0 | 24.67 | 3242.37
ServiceSideSyncCopy | 32 | 010MB/File00.dat | 10.0 | 22.84 | 3502.83
ServiceSideSyncCopy | 32 | 100MB/File09.dat | 100.0 | 202.13 | 3957.86
ServiceSideSyncCopy | 32 | 010MB/File03.dat | 10.0 | 19.73 | 4054.81
ServiceSideSyncCopy | 32 | 010MB/File09.dat | 10.0 | 18.63 | 4293.34
ServiceSideSyncCopy | 32 | 100MB/File08.dat | 100.0 | 149.14 | 5364.20
ServiceSideSyncCopy | 32 | 010MB/File07.dat | 10.0 | 12.86 | 6222.57
ServiceSideSyncCopy | 32 | 100MB/File04.dat | 100.0 | 125.37 | 6381.16
ServiceSideSyncCopy | 32 | 100MB/File00.dat | 100.0 | 103.99 | 7692.95
ServiceSideSyncCopy | 32 | 100MB/File05.dat | 100.0 | 103.51 | 7728.39
ServiceSideSyncCopy | 32 | 100MB/File06.dat | 100.0 | 98.46 | 8125.06
ServiceSideSyncCopy | 32 | 100MB/File02.dat | 100.0 | 92.19 | 8677.94
ServiceSideSyncCopy | 32 | 100MB/File07.dat | 100.0 | 92.13 | 8683.38
ServiceSideSyncCopy | 32 | 100MB/File03.dat | 100.0 | 90.04 | 8885.24
ServiceSideSyncCopy | 32 | 100MB/File01.dat | 100.0 | 83.28 | 9606.07
ServiceSideSyncCopy-Total | 32 | 30 blobs | 1110.0 | 914.51 | 00:00:09.7100994
ServiceSideAsyncCopy | 32 | 001MB/File06.dat | 1.0 | 1.60 | 5009.61
ServiceSideAsyncCopy | 32 | 001MB/File04.dat | 1.0 | 1.60 | 5009.64
ServiceSideAsyncCopy | 32 | 001MB/File03.dat | 1.0 | 1.53 | 5230.66
ServiceSideAsyncCopy | 32 | 010MB/File07.dat | 10.0 | 9.48 | 8439.95
ServiceSideAsyncCopy | 32 | 001MB/File02.dat | 1.0 | .78 | 10284.94
ServiceSideAsyncCopy | 32 | 001MB/File00.dat | 1.0 | .76 | 10487.96
ServiceSideAsyncCopy | 32 | 010MB/File02.dat | 10.0 | 7.48 | 10695.92
